UniProtKB:O15047	SETD1A
UniProtKB:Q9NUP7	TRMT13
UniProtKB:Q9H9B1	EHMT1
UniProtKB:Q9H993	ARMT1
UniProtKB:P11086	PNMT
UniProtKB:Q7Z2T5	TRMT1L
UniProtKB:P46597	ASMT
UniProtKB:Q9NZJ6	COQ3
UniProtKB:Q03164	KMT2A
UniProtKB:Q13395	TARBP1
UniProtKB:O43463	SUV39H1
UniProtKB:Q9H4Q3	PRDM13
UniProtKB:Q9UMN6	KMT2B
UniProtKB:Q5HYK3	COQ5
UniProtKB:Q86Y97	KMT5C
UniProtKB:Q14353	GAMT
UniProtKB:Q9Y5N5	HEMK2
UniProtKB:Q5JPI9	EEF1AKMT2
UniProtKB:O95671	ASMTL
UniProtKB:Q9C0A6	SETD5
UniProtKB:O43709	BUD23
UniProtKB:P0C5J1	FAM86B2
UniProtKB:A6NDL7	METTL21EP
UniProtKB:Q6P4H8	ATPSCKMT
UniProtKB:Q8NE22	SETD9
ComplexPortal:CPX-8781	ramac-rnmt-1
UniProtKB:O95568	METTL18
UniProtKB:O43148	RNMT
UniProtKB:A6NJ78	METTL15
UniProtKB:Q5VVY1	NTMT2
UniProtKB:A6NEL3	FAM86C2P
UniProtKB:A6NHQ2	FBLL1
UniProtKB:Q96BT7	ALKBH8
UniProtKB:O43159	RRP8
UniProtKB:Q6P2P2	PRMT9
UniProtKB:Q6P1Q9	METTL2B
UniProtKB:Q14749	GNMT
UniProtKB:P22061	PCMT1
UniProtKB:P22087	FBL
UniProtKB:P0C7V9	METTL15P1
UniProtKB:Q5VZV1	METTL21C
ComplexPortal:CPX-21210	mettl3-mettl14_human
UniProtKB:Q86TU7	SETD3
UniProtKB:Q8N6Q8	METTL25
UniProtKB:Q9BU70	TRMO
UniProtKB:O60678	PRMT3
UniProtKB:Q9BTF0	THUMPD2
UniProtKB:Q8N7N1	FAM86B1
UniProtKB:P57071	PRDM15
UniProtKB:P0DPD7	EEF1AKMT4
UniProtKB:Q9NRN9	METTL5
